
This is storm data analysis for Atlantic
     Storm_ID            name            distance     storm propagation  max propagation     storm energy    max surface area 
     AL081878          UNNAMED          5792962.05         206891.5          52175.65           182.18              0         
     AL091878          UNNAMED          4617899.34        148964.49          46842.67           197.39              0         
     AL101878          UNNAMED          3409924.98        126293.52          41319.17           181.72              0         
     AL111878          UNNAMED          4406926.02        137716.44          61112.72           204.33              0         
     AL121878          UNNAMED          2949713.15         95152.04          23479.32           190.63              0         
     AL011879          UNNAMED          2391232.71        159415.51          33530.2            101.39              0         
     AL021879          UNNAMED          5942717.44        191700.56          57456.29           197.2               0         
     AL031879          UNNAMED          3181490.89        132562.12          45222.91           140.95              0         
     AL041879          UNNAMED          1513121.24         75656.06          32258.53           124.32              0         
     AL051879          UNNAMED          2499211.36        124960.57          36856.32           119.32              0         
     AL061879          UNNAMED          4452584.16        139143.26          36130.59           191.32              0         
     AL071879          UNNAMED          4374898.58        182287.44          79644.38           157.23              0         
     AL081879          UNNAMED          4110368.17        274024.54          78884.23           90.51               0         
     AL011880          UNNAMED          1071250.99         59513.94          40559.85           104.53              0         
     AL021880          UNNAMED          4950254.12        112505.78          39298.8            278.25              0         
     AL031880          UNNAMED          3157802.93        137295.78          37165.54           144.91              0         
     AL041880          UNNAMED          3397344.31         94370.68          37165.54           216.38              0         
     AL051880          UNNAMED          3641797.27         93379.42          34642.64           240.65              0         
     AL061880          UNNAMED          3968455.99        158738.24          56485.24           168.35              0         
     AL071880          UNNAMED          2913947.49        264904.32          55925.07           59.27               0         
     AL081880          UNNAMED          3819025.08        123194.36          55925.07           199.12              0         
     AL091880          UNNAMED          3220172.2         134173.84          47632.6            158.92              0         
     AL101880          UNNAMED          2931701.77        108581.55          51674.59           160.75              0         
     AL111880          UNNAMED          2848304.54        149910.77          53377.31           121.56              0         
     AL011881          UNNAMED          1057138.78         75509.91          23149.08           83.32               0         
     AL031881          UNNAMED          3561176.29        114876.65          28764.39           181.8               0         
     AL021881          UNNAMED          1262640.91         90188.64          28764.39           80.53               0         
     AL041881          UNNAMED          4239192.77        184312.73          41966.53           149.39              0         
     AL051881          UNNAMED          4012826.46         111467.4          41966.53           211.64              0         
     AL061881          UNNAMED          2629669.65        131483.48          36839.86           117.72              0         
